_key,strokes,grade,freq,jlpt_old,jlpt_new,meanings/0,meanings/1,readings_on/0,readings_on/1,readings_kun/0,readings_kun/1,wk_level,wk_meanings/0,wk_readings_on/0,wk_readings_on/1,wk_readings_kun/0,wk_radicals/0,readings_kun/2,wk_readings_kun/1,readings_kun/3,readings_kun/4,readings_kun/5,meanings/2,meanings/3,meanings/4,meanings/5,readings_on/2,wk_meanings/1,wk_radicals/1,readings_kun/6,readings_kun/7,readings_kun/8,readings_kun/9,readings_kun/10,readings_kun/11,readings_kun/12,readings_kun/13,readings_kun/14,wk_meanings/2,wk_readings_kun/2,wk_readings_kun/3,wk_readings_kun/4,wk_meanings/3,readings_on/3,readings_on/4,meanings/6,meanings/7,meanings/8,meanings/9,meanings/10,meanings/11,meanings/12,wk_readings_on/2,wk_radicals/2,wk_radicals/3,wk_meanings/4,readings_kun/15,readings_kun/16,readings_kun/17,meanings/13,wk_radicals/4,wk_readings_kun/5,readings_on/5,readings_on/6
天,4,1,512,4,5,Heavens,Sky,てん,,あまつ,あめ,2,Heaven,てん,,!あま,Heaven,あま-,,,,,Imperial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手,4,1,60,4,4,Hand,,しゅ,ず,て,て-,2,Hand,!しゅ,,て,Hand,-て,,た-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
文,4,1,190,3,4,Sentence,Literature,ぶん,もん,ふみ,あや,2,Writing,ぶん,もん,,Writing,,,,,,Style,Art,Decoration,Figures,,^Sentence,,,,,,,,,,,,,,,,,,Plan,Literary Radical (no. 67),,,,,,,,,,,,,,,,,
日,4,1,1,4,5,Day,Sun,にち,じつ,ひ,-び,2,Sun,にち,じつ,!ひ,Sun,-か,!か,,,,Japan,Counter For Days,,,,^Day,,,,,,,,,,,,!び,,,,,,,,,,,,,,,,,,,,,,,,
月,4,1,23,4,5,Month,Moon,げつ,がつ,つき,,2,Moon,げつ,がつ,!つき,Moon,,,,,,,,,,,^Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
木,4,1,317,4,5,Tree,Wood,ぼく,もく,き,こ-,2,Tree,もく,ぼく,!き,Tree,,!こ,,,,,,,,,^Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水,4,1,223,4,5,Water,,すい,,みず,みず-,2,Water,すい,,!みず,Water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
火,4,1,574,4,5,Fire,,か,,ひ,-び,2,Fire,か,,!ひ,Fire,ほ-,!ほ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
犬,4,1,1326,3,4,Dog,,けん,,いぬ,いぬ-,2,Dog,!けん,,いぬ,Dog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王,4,1,684,2,3,King,Rule,おう,-のう,,,2,King,おう,,,King,,,,,,Magnate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
